Id, Applied to Schema, Applied on Date, Applied to Server, Was Executed, Succeeded, Report
patch.redeployNominatedInvitationProcessWithPropsForShare, 17000, 2023-01-23 13:18:33.997, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-ContentTables2, 17000, 2023-01-23 13:18:34, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.3-Remove-VersionCount, 17000, 2023-01-23 13:18:34.001, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.rendition.rendering_actions, 17000, 2023-01-23 13:18:34.002, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.thumbnailsAssocQName, 17000, 2023-01-23 13:18:34.005, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.emailInviteAndNotifyTemplatesFolder, 17000, 2023-01-23 13:18:34.01, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.convertContentUrls, 17000, 2023-01-23 13:18:34.011, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.transferServiceFolder, 17000, 2023-01-23 13:18:34.012, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-authority-unique-idx, 17000, 2023-01-23 13:18:34.014, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.fixAuthoritiesCrcValues, 17000, 2023-01-23 13:18:34.015, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateMimetypes1, 17000, 2023-01-23 13:18:34.017, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.3-modify-index-permission_id, 17000, 2023-01-23 13:18:34.019, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-AddFKIndexes, 17000, 2023-01-23 13:18:34.02, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.3-Fix-Repo-Seqs, 17000, 2023-01-23 13:18:34.022, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-property-unique-ctx-value, 17000, 2023-01-23 13:18:34.023, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-property-unique-ctx-idx, 17000, 2023-01-23 13:18:34.025, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-child-assoc-indexes, 17000, 2023-01-23 13:18:34.027, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.3-JBPM-Extra, 17000, 2023-01-23 13:18:34.028, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.3-Node-Prop-Serializable, 17000, 2023-01-23 13:18:34.029, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.migrateAttrTenants, 17000, 2023-01-23 13:18:34.03, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.migrateAttrPropBackedBeans, 17000, 2023-01-23 13:18:34.031, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.migrateAttrChainingURS, 17000, 2023-01-23 13:18:34.033, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.migrateAttrDelete, 17000, 2023-01-23 13:18:34.034, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.replication.replication_actions, 17000, 2023-01-23 13:18:34.035, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.transfer.targetrulefolder, 17000, 2023-01-23 13:18:34.036, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.transfer.targetrule, 17000, 2023-01-23 13:18:34.037, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.actions.scheduledfolder, 17000, 2023-01-23 13:18:34.038, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateMimetypes2, 17000, 2023-01-23 13:18:34.039, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-AddFKIndexes-2, 17000, 2023-01-23 13:18:34.04, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.redeployJbpmAdhocWorkflow, 17000, 2023-01-23 13:18:34.041, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.imapSpacesLocaleTemplates, 17000, 2023-01-23 13:18:34.042, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.mtFixAdminExistingTenants, 17000, 2023-01-23 13:18:34.043, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.fixUserQNames, 17000, 2023-01-23 13:18:34.044, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.activitiesEmailTemplate, 17000, 2023-01-23 13:18:34.045, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.newUserEmailTemplates, 17000, 2023-01-23 13:18:34.046, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.inviteEmailTemplates, 17000, 2023-01-23 13:18:34.047, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.htmlNotificationMailTemplates, 17000, 2023-01-23 13:18:34.049, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.fixAclInheritance, 17000, 2023-01-23 13:18:34.05, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-JBPM-FK-indexes, 17000, 2023-01-23 13:18:34.052, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
