Content Model URI, Property
http://www.alfresco.org/model/exif/1.0, pixelYDimension
http://www.alfresco.org/model/exif/1.0, resolutionUnit
http://www.alfresco.org/model/exif/1.0, software
http://www.alfresco.org/model/exif/1.0, xResolution
http://www.alfresco.org/model/exif/1.0, yResolution
http://www.alfresco.org/model/forum/1.0, discussable
http://www.alfresco.org/model/forum/1.0, discussion
http://www.alfresco.org/model/forum/1.0, forum
http://www.alfresco.org/model/forum/1.0, post
http://www.alfresco.org/model/forum/1.0, topic
http://www.alfresco.org/model/linksmodel/1.0, description
http://www.alfresco.org/model/linksmodel/1.0, link
http://www.alfresco.org/model/linksmodel/1.0, title
http://www.alfresco.org/model/linksmodel/1.0, url
http://www.alfresco.org/model/rendition/1.0, contentHashCode
http://www.alfresco.org/model/rendition/1.0, hiddenRendition
http://www.alfresco.org/model/rendition/1.0, rendition
http://www.alfresco.org/model/rendition/1.0, rendition2
http://www.alfresco.org/model/rendition/1.0, renditioned
http://www.alfresco.org/model/rule/1.0, action
http://www.alfresco.org/model/rule/1.0, applyToChildren
http://www.alfresco.org/model/rule/1.0, disabled
http://www.alfresco.org/model/rule/1.0, executeAsynchronously
http://www.alfresco.org/model/rule/1.0, rule
http://www.alfresco.org/model/rule/1.0, ruleFolder
http://www.alfresco.org/model/rule/1.0, rules
http://www.alfresco.org/model/rule/1.0, ruleType
http://www.alfresco.org/model/security/1.0, All
http://www.alfresco.org/model/site/1.0, componentId
http://www.alfresco.org/model/site/1.0, site
http://www.alfresco.org/model/site/1.0, siteContainer
http://www.alfresco.org/model/site/1.0, sitePreset
http://www.alfresco.org/model/site/1.0, sites
http://www.alfresco.org/model/site/1.0, siteVisibility
http://www.alfresco.org/model/solrfacet/1.0, facetOrder
http://www.alfresco.org/model/solrfacet/1.0, facets
http://www.alfresco.org/model/system/1.0, archived
http://www.alfresco.org/model/system/1.0, archivedBy
http://www.alfresco.org/model/system/1.0, archivedDate
http://www.alfresco.org/model/system/1.0, archivedLink
http://www.alfresco.org/model/system/1.0, archivedOriginalOwner
http://www.alfresco.org/model/system/1.0, archivedOriginalParentAssoc
http://www.alfresco.org/model/system/1.0, archiveRoot
http://www.alfresco.org/model/system/1.0, archiveUser
http://www.alfresco.org/model/system/1.0, archiveUserLink
http://www.alfresco.org/model/system/1.0, aspect_root
http://www.alfresco.org/model/system/1.0, authorizationChecksum
http://www.alfresco.org/model/system/1.0, base
http://www.alfresco.org/model/system/1.0, cascadeCRC
http://www.alfresco.org/model/system/1.0, cascadeHidden
http://www.alfresco.org/model/system/1.0, cascadeIndexControl
